callsign	entity	grid	year	qsos	start_ts	end_ts
S9YY	Sao Tome & Principe	JJ30	2016	51036	2016-10-08 06:33:00	2016-10-23 17:32:00
ZL7G	Chatham Island	AE16	2016	42723	2016-10-28 12:21:00	2016-11-09 01:41:00
XU7MDC	Cambodia	OK21	2016	35459	2016-11-03 16:03:00	2016-11-14 03:40:00
TU5MH	Cote d\'Ivoire	IJ75	2017	32323	2017-01-22 23:23:00	2017-02-02 16:02:00
TL8TT	Central African Republic	JJ94	2017	63152	2017-02-01 23:37:00	2017-02-14 07:00:00
XX9D (2017)	Macao	OL62	2017	44689	2017-02-13 15:41:00	2017-02-27 06:38:00
VP6EU	Pitcairn Island	CG44	2017	39034	2017-02-17 05:09:00	2017-03-06 04:24:00
5U5R	Niger	JK13	2017	75327	2017-03-09 16:13:00	2017-03-20 23:32:00
9N7EI	Nepal	NL27	2017	30424	2017-03-10 19:53:00	2017-03-19 16:45:00
TU7C	Cote d\'Ivoire	IJ75	2017	52357	2017-03-11 01:13:00	2017-03-19 20:00:00
S21ZED, S21ZEE	Bangladesh	NL53	2017	51430	2017-03-15 00:00:00	2017-03-26 23:59:00
A25UK	Botswana	KG27	2017	44384	2017-04-26 02:52:00	2017-05-06 09:57:00
E31A (2017)	Eritrea	KK95	2017	36484	2017-05-18 21:06:00	2017-05-29 18:06:00
5T5OK	Mauritania	IK28	2017	43235	2017-09-17 00:02:00	2017-09-29 02:51:00
3C1L	Equatorial Guinea	JJ43	2017	43616	2017-10-10 02:26:00	2017-11-12 12:01:00
3C0L	Annobon	JI28	2017	32445	2017-10-13 23:33:00	2017-10-25 11:30:00
VK9MA	Mellish Reef	QH72	2017	43747	2017-11-04 15:34:00	2017-11-16 03:07:00
9U4M	Burundi	KI46	2017	55005	2017-11-07 04:16:00	2017-11-17 04:35:00
VP2MDL	Montserrat	FK86	2017	36728	2017-11-07 21:47:00	2017-11-20 15:34:00
J5T	Guinea-Bissau	IK21	2017	63635	2017-11-13 19:00:00	2017-11-26 17:00:00
TO2SP	Saint Barthélemy	FK87	2017	63030	2017-11-16 07:01:00	2017-11-30 17:14:00
E31A (2018)	Eritrea	KK95	2018	33228	2018-01-15 01:48:00	2018-01-22 19:02:00
Z60A	Republic of Kosovo	KN02	2018	98491	2018-01-20 16:04:00	2018-03-13 02:17:00
ZC4A	UK Bases on Cyprus	KM64	2018	33537	2018-01-25 22:19:00	2018-01-31 18:05:00
3D2EU	Rotuma	RH87	2018	30138	2018-02-25 10:48:00	2018-03-15 15:57:00
3C3W	Equatorial Guinea	JJ43	2018	30323	2018-03-01 02:41:00	2018-03-09 13:00:00
XR0YD	Easter Island	DG52	2018	46429	2018-03-03 05:39:00	2018-03-15 19:02:00
TY7C	Benin	JJ16	2018	39074	2018-03-09 03:51:00	2018-03-18 17:32:00
TN5R	Republic of the Congo	JI75	2018	62251	2018-03-09 23:29:00	2018-03-20 04:44:00
3C0W	Annobon	JI28	2018	54267	2018-03-11 01:30:00	2018-03-24 10:03:00
TJ2TT	Cameroon	JJ53	2018	51476	2018-03-15 19:17:00	2018-03-29 20:11:00
7Q7EI	Malawi	KH66	2018	37071	2018-03-24 04:05:00	2018-04-02 22:28:00
3B7A	Agalega & St. Brandon Islands	LH89	2018	71093	2018-04-06 23:02:00	2018-04-17 23:24:00
KH1/KH7Z	Baker Howland Islands	AJ10	2018	68980	2018-06-27 13:58:00	2018-07-05 17:58:00
TO6OK	Mayotte	LH27	2018	47666	2018-09-22 01:00:00	2018-10-06 02:59:00
9X0T, 9X0Y	Rwanda	KI48	2018	67441	2018-09-26 16:16:00	2018-10-10 11:01:00
VP6D	Ducie Island	CG75	2018	112015	2018-10-20 10:16:00	2018-10-31 22:20:00
Z23MD	Zimbabwe	KH52	2018	45978	2018-10-27 19:35:00	2018-11-06 11:00:00
8P9AE	Barbados	GK03	2018	37461	2018-11-07 09:55:00	2018-11-20 17:00:00
9LY1JM	Sierra Leone	IJ38	2019	50343	2019-01-11 03:33:00	2019-01-20 12:33:00
V84SAA	Brunei	OJ74	2019	58156	2019-02-06 09:14:00	2019-02-17 18:23:00
